,Sample_Test,Num_of_Words,Start_Word,Predicted_Text
0,1,6,الحمد,الحمد بعض بها أثمر تعملون الله
1,2,6,محمد,محمد المخلصين كان من عليكم في
2,3,6,الله,الله كفروا أخذنا يرسل والسماء عليهم
3,4,6,موسى,موسى فإن لقد تضرعا إنهم يخافون
4,5,6,الم,الم الظالمون بما والسراء أبلغه العلم
5,6,6,الجنة,الجنة ومقتا من الشجرة وهم الله
6,7,6,المسلمون,المسلمون خيرا آمنوا يريد قد حكيم
7,8,6,عيسى,عيسى بشرا تحيطوا من يخرجون تنزل
8,9,7,الحمد,الحمد وما الله ولو لا عنه عليهم
9,10,7,محمد,محمد وأجل رسالة إلي الرياح عليكم ربك
10,11,7,الله,الله ولا الصافنات موسى نتبع يشاء الرحمن
11,12,7,موسى,موسى كتب أن ذلك يؤمن يستجيبون وإذا
12,13,7,الم,الم ويستعجلونك فيها يشاء نحن عنا هدى
13,14,7,الجنة,الجنة رطب للذين آمنوا إنا الأعراب الذي
14,15,7,المسلمون,المسلمون مبين بين تلقي وأبصر أهلكنا هل
15,16,7,عيسى,عيسى أحسب سابقين عشر بذنوبهم نحلة عذاب
16,17,8,الحمد,الحمد أحياهم وزلزلوا كنتم لا أخرى الإثم منهم
17,18,8,محمد,محمد نذيرا في عجبوا الذين ربك قدير فاضربوا
18,19,8,الله,الله قال الحرام لمن قولهم يؤمنون نتلوها فيها
19,20,8,موسى,موسى فيه منهم أن وكانوا القرى طيبات من
20,21,8,الم,الم المكذبين ويتوب سحر كنتم بأنهم والله الأرض
21,22,8,الجنة,الجنة أغنياء ما ربه ذا بعدا الله إبليس
22,23,8,المسلمون,المسلمون برزوا رءوسهم الذين شيئا حفظهما بالمجرمين كانوا
23,24,8,عيسى,عيسى بعد حوله رجز ونفخ ما عند نصيب
24,25,9,الحمد,الحمد وأوحي واجعل أخرتن الذين وهم فإذا يا إلا
25,26,9,محمد,محمد ينبئكم عن يوسف سيؤتينا ترجعون موسى الرحمن أيها
26,27,9,الله,الله لعلى يأتي الله بأنه القرنين أثقالهم لكم تفسحوا
27,28,9,موسى,موسى مما في ثم حليما من لهم ولكن ألسنتهم
28,29,9,الم,الم أفمن عن ليذوقوا لهم لا كل إسرائيل والميسر
29,30,9,الجنة,الجنة ثم وجعل واسع فلا وأقيموا من العالمين السبيل
30,31,9,المسلمون,المسلمون يؤمن هجرا يتوبون على بالمتقين في علمنا منهم
31,32,9,عيسى,عيسى كنت من قلوبهم للكافرين والأرض الله يصلى إن
32,33,10,الحمد,الحمد يملكون البحر رحيما سلطان لا إلا وتراهم هما تأمنه
33,34,10,محمد,محمد الخاسرون يا سبع كل قضينا بالإثم هذه إن فينا
34,35,10,الله,الله ليقض مبين أن من يخدعون جزاء والله ربنا سولت
35,36,10,موسى,موسى لقوم من النهار العزيز فيه والإثم الله وإذا إله
36,37,10,الم,الم الدهر يتقون أهلكنا الآخر نظنك يرون في تجعلوا ضلالتهم
37,38,10,الجنة,الجنة للذين كلمت إن مؤجلا عذاب إني وما اتبعوه بسم
38,39,10,المسلمون,المسلمون فهب هماز مما سميعا كنتم يصنعون ولا وما لستن
39,40,10,عيسى,عيسى أساءوا يا نزل يحرفون يومئذ صعودا مني شيء صراط
